YYYYMM,SMALL LoAC,ME1 AC2,ME1 AC3,ME1 AC4,SMALL HiAC,ME2 AC1,ME2 AC2,ME2 AC3,ME2 AC4,ME2 AC5,ME3 AC1,ME3 AC2,ME3 AC3,ME3 AC4,ME3 AC5,ME4 AC1,ME4 AC2,ME4 AC3,ME4 AC4,ME4 AC5,BIG LoAC,ME5 AC2,ME5 AC3,ME5 AC4,BIG HiAC
196412,-2.2446,-0.7359,-0.1788,-2.1243,-0.7106,2.351,-1.4266,2.0394,-1.69,1.0082,-0.2465,-2.3186,-1.1732,-0.1815,1.007,-0.3357,0.5915,-1.3011,-1.2559,2.0368,-0.7091,0.3239,0.0539,2.0194,2.0089
196501,6.6179,6.0754,6.743,6.7744,9.2952,6.1308,6.9402,4.2873,5.8945,7.4693,5.662,7.2249,6.6835,6.078,5.5991,7.4758,4.3636,4.9794,6.2953,5.993,2.6807,3.2466,1.9759,4.5159,4.8416
196502,3.9275,4.1655,3.3165,3.066,2.1538,4.9783,3.382,4.0929,3.357,3.8421,5.7277,7.6059,4.5997,2.116,4.2674,4.5531,2.985,2.0131,4.7845,2.4862,2.2976,0.6408,-1.1252,-0.6108,1.6935
196503,1.8743,0.7164,4.7232,2.2586,1.8528,2.1164,3.0729,-0.3427,0.7964,-1.2751,-0.8717,-0.0748,0.9299,1.3493,-0.7193,-1.7869,0.3149,0.5807,-0.5395,0.5484,-0.8454,-1.8308,-2.0781,0.2459,-3.0557
196504,4.5837,3.6274,1.4441,5.318,5.9737,2.5012,6.8037,4.0991,3.7777,4.5632,4.7075,3.9905,3.0322,2.9385,7.0239,4.2858,3.3579,5.8264,2.9964,7.0378,3.4196,3.1799,2.8016,5.9156,5.468
196505,-2.3499,-1.0144,1.1659,0.3516,0.7882,-0.5471,0.7111,-0.5194,-1.5788,3.2873,-1.472,4.6965,0.0496,-0.446,-0.9761,1.6312,-0.4703,-1.2427,-1.0896,-0.6557,-0.505,1.2916,-0.8716,-2.5672,1.8103
196506,-11.1108,-8.2251,-10.5903,-8.5312,-10.2822,-9.7289,-6.7927,-8.6124,-9.4967,-10.2386,-9.6401,-11.0821,-7.4278,-7.2424,-9.979,-9.0382,-7.2703,-7.1994,-7.6374,-7.9588,-5.1843,-3.9865,-3.0813,-6.0462,-5.3093
196507,2.5831,3.9747,2.8917,2.7204,3.1323,3.3175,2.4094,2.8592,1.1246,3.0547,2.3389,5.1483,1.9804,3.209,4.8536,3.3287,3.7215,2.8249,4.6624,2.2189,3.4175,0.8932,2.06,1.4438,-0.5254
196508,2.8245,4.1819,4.3399,2.3516,5.2732,4.602,4.769,4.0355,5.0605,7.1062,5.0287,4.9868,7.8134,7.5718,8.2322,6.3955,2.7256,3.5389,5.1777,3.5778,4.0118,3.1728,1.7662,3.1802,3.4101
196509,4.2238,0.29,3.8679,5.5776,4.1687,5.3906,1.125,0.5413,3.4153,6.8311,2.2734,3.4262,4.874,6.1254,4.924,4.7138,5.058,1.9963,4.562,4.1346,1.7384,2.8271,4.9575,4.4477,-0.0209
196510,9.4878,7.7039,4.9519,7.3789,7.8564,6.1713,4.989,2.4883,4.0955,7.7608,8.0957,6.1845,6.3853,6.6956,6.8373,5.8701,3.4002,5.3942,2.9928,3.8994,5.173,2.235,1.5125,6.23,1.0717
196511,12.2763,2.1965,4.3067,4.5159,7.3176,6.8062,0.7532,3.6322,3.9345,5.765,0.9371,4.7337,6.6093,5.2325,4.1311,2.815,4.4514,1.9583,5.2643,4.8746,3.3387,-1.4479,-0.1384,-2.7883,2.9247
196512,5.216,5.8045,1.4292,5.5087,4.6633,5.5464,5.1548,1.8341,9.5292,3.1618,5.8397,-0.2402,2.2735,4.2848,4.4247,5.05,3.7884,3.4019,0.2091,2.34,0.9145,-0.0895,2.1063,0.9624,0.7963
196601,7.6761,3.8834,5.9542,9.6168,7.2336,5.8892,5.7269,4.3302,8.1777,3.062,2.2899,3.6996,4.8507,3.7839,6.1276,2.4635,5.3056,3.7175,2.0163,4.3192,5.267,0.176,0.3486,0.9004,-2.3206
196602,6.1487,2.9971,4.1874,4.9176,7.5697,0.7111,0.5889,-1.9371,4.4888,2.6844,2.7538,0.5834,1.6184,4.3149,5.4336,2.2478,2.3123,0.8464,1.9171,-1.3379,-1.1063,-0.6827,-2.5644,-0.4497,-1.4577
196603,0.3237,0.2008,-3.7942,-2.399,0.154,-3.3536,-3.6879,-3.8242,-3.4141,-3.1423,-1.8411,-3.3506,0.1821,-5.221,-3.6871,-1.6994,-3.0464,-2.0186,-0.9864,-0.8698,-1.5807,-1.703,-3.1227,-2.5997,-1.8355
196604,11.8047,2.9243,4.6806,4.5759,5.8125,3.6875,4.3124,4.721,3.6245,8.7599,5.9898,4.3556,8.0568,3.9866,2.4057,3.8951,2.6037,3.5863,4.4697,5.6643,3.4985,3.3428,1.8093,-0.1488,-0.4728
196605,-14.5704,-9.8842,-7.7006,-8.2595,-12.4725,-9.691,-8.8229,-8.4095,-11.265,-11.3981,-6.67,-9.1372,-8.5048,-8.6659,-9.646,-6.6188,-7.2108,-6.0718,-6.9687,-7.1287,-6.9909,-3.6945,-5.1165,-5.5495,-3.3391
196606,2.61,-0.3194,1.5125,0.2812,-0.0351,1.261,-1.0578,-0.2678,-0.2389,1.3023,0.1545,-1.4102,5.2375,1.1269,1.8824,4.4667,0.2091,-0.3212,-0.7858,1.7277,2.0372,-1.3952,-1.909,-1.0276,-4.1991
196607,-2.5661,-0.9732,-1.0509,-1.8249,-1.4701,-0.6113,-2.3302,-2.3255,-3.447,-0.8921,-2.5133,-2.7339,-1.693,-0.434,0.78,-2.3904,-2.2644,-0.9471,-2.4984,-4.3588,0.1409,-0.6554,-0.9324,-0.5735,-5.1317
196608,-12.1149,-11.8756,-8.9078,-10.9711,-10.0144,-11.9948,-10.6747,-9.7269,-9.2876,-10.4041,-8.029,-8.6539,-6.989,-10.9976,-10.3176,-9.3945,-8.7644,-7.6515,-7.9722,-8.0269,-7.7972,-6.0315,-7.1263,-9.8309,-6.6518
196609,-3.1699,-0.8188,-3.1596,-1.8226,-0.758,-0.2647,-2.4624,-0.0952,-3.0368,-2.2678,-4.4782,-2.82,-1.5967,-2.3827,-2.7863,-2.6427,-1.1692,-1.8449,-3.8297,-3.7743,-1.2846,0.8093,-1.5557,-2.5615,-3.3707
196610,-5.0964,-4.1796,-3.4182,-0.5289,-4.9905,-2.5086,-0.9352,-2.7365,-2.8528,-1.4289,1.294,1.4339,1.7675,0.7837,1.7278,-0.4755,3.8584,1.2047,0.4799,-2.6241,4.5218,5.4338,4.9372,1.3838,5.2453
196611,4.0433,3.3832,4.9497,3.4279,5.314,5.8317,5.0946,1.3246,1.0824,5.3163,9.9158,5.5648,3.0817,4.1043,6.8352,6.3233,2.1559,4.3079,6.8697,8.6746,3.5986,-0.3223,2.0094,6.9798,2.6849
196612,1.9744,1.4724,0.314,2.7024,1.6944,1.1641,1.596,0.538,2.5644,2.9026,5.1395,2.573,1.6616,2.1393,1.31,0.4026,0.0712,3.6954,6.0546,0.6742,-0.6645,0.1604,0.148,0.9975,-4.4144
196701,20.4207,21.9809,16.1262,18.1852,20.108,15.7284,15.9397,18.7636,20.8519,20.5453,13.3067,14.5514,15.4904,14.7928,16.4868,14.0257,11.1677,9.7665,9.5097,16.8504,9.2285,6.5773,8.7152,9.3778,6.7191
196702,5.9421,2.2847,2.7586,5.019,7.7762,2.7594,4.5629,1.9149,4.2981,1.5761,1.3828,2.1356,-0.5533,1.7087,0.6705,2.5338,0.0281,2.3564,1.5921,2.9715,0.2753,0.8721,1.3668,3.8978,0.873
196703,4.6746,6.5815,5.6287,8.0451,7.6634,5.6175,6.4666,9.4178,4.2896,7.6887,7.0468,3.449,5.5432,7.481,9.7003,5.4638,5.7122,6.2295,7.8852,5.162,4.1752,3.9305,4.4761,6.6901,4.2758
196704,4.2931,4.0902,3.3589,5.6616,5.0248,3.3762,3.5519,2.8602,9.2487,5.3219,7.7109,2.8574,1.8307,4.4835,6.9926,5.6242,3.7906,5.0251,5.8438,8.1722,4.767,4.521,2.4149,5.3468,8.0426
196705,1.4199,-0.1476,-0.9893,-0.2618,0.0311,2.0987,-3.4317,-0.4551,-5.7658,-0.9438,-2.5567,-1.8529,-0.9463,-1.5894,-2.6779,-2.0526,-1.6865,-2.8749,-1.2808,0.5599,-4.9749,-4.6253,-4.712,-4.5398,-7.4967
196706,14.578,7.5542,10.9608,11.3096,14.9489,8.9646,5.5158,6.1403,8.9021,9.2328,6.9347,5.6455,4.837,6.7802,7.9004,4.314,4.776,3.7695,4.7406,6.1941,3.3129,2.0587,-0.3335,2.9213,2.6932
196707,11.3039,9.2054,6.8697,10.5569,8.1858,8.3137,7.7918,5.8128,9.7767,11.1096,6.0755,6.9272,6.3937,9.158,6.3789,9.4414,6.6427,4.3508,5.2775,4.2942,5.9392,2.484,4.6601,6.5269,7.2005
196708,2.3662,3.215,-1.2028,-0.4564,-0.1428,-0.5035,-0.4885,-0.0519,2.0979,-3.9524,0.3757,0.0895,1.3925,0.318,-2.6641,-1.7075,0.8434,1.3999,-1.8256,-0.6604,-1.4141,-1.7449,-0.4528,-0.1805,0.1808
196709,6.8268,6.4349,5.147,12.6462,9.6277,3.2435,6.1089,7.809,6.6347,2.9576,3.0862,6.5744,3.4984,1.8816,5.2954,4.3192,1.9061,1.7848,3.3785,4.1715,0.7874,3.1905,4.975,3.2281,4.8175
196710,-2.8398,-0.5973,-3.2914,-1.4796,-0.5818,-1.3987,-1.773,-3.4031,-3.9877,-3.1818,-1.1499,-2.544,-5.0455,-2.9466,-0.5413,-3.7601,-4.7464,-2.9117,-5.137,-4.8229,-2.769,-2.4318,1.5551,-5.7067,-0.1063
196711,0.9449,-0.5733,0.2537,0.8551,-0.293,1.2708,-0.0129,-1.9146,2.2383,0.7905,0.0938,1.3163,1.1367,-0.4407,0.4415,2.3415,0.9047,2.3835,0.8606,0.2503,0.9487,0.6359,1.3413,-0.1295,-0.4819
196712,10.5241,11.5576,8.953,9.3129,11.0838,10.9332,5.8355,2.419,10.0721,8.6782,8.8805,6.329,4.6193,6.8439,6.1497,5.7068,5.2733,0.3733,3.3614,0.8153,1.2153,2.8373,4.3691,2.6225,-1.7545
196801,5.4806,2.4787,2.4164,1.2929,2.2042,-0.4231,1.3506,0.7133,-1.7583,-2.9329,-1.646,-2.4914,-2.2554,-1.5961,-5.386,-5.7624,-1.4002,-2.3162,-5.7914,-8.1495,-1.1054,-2.0266,-7.2809,-5.3207,-10.7986
196802,-7.7938,-7.0169,-6.139,-4.9253,-8.9308,-7.2575,-0.2547,-5.6113,-6.9658,-6.7087,-4.7366,-2.5982,-2.9161,-4.4153,-9.2141,-4.3284,-5.1643,-3.357,-4.9345,-7.2569,-1.4065,-2.0523,-3.8668,-4.1566,-2.07
196803,-0.7691,-1.0527,0.1549,-0.9831,-1.1819,-0.0974,-0.1031,-0.3169,-3.1466,-1.9307,-0.7685,2.145,-0.4503,0.7684,0.4475,-0.7319,-2.9003,0.3011,-1.8557,3.0346,2.0235,0.5712,3.3815,0.1741,1.1083
196804,17.1597,18.3447,16.6493,16.415,19.7839,14.0476,12.6391,11.4908,16.2734,16.9119,13.9863,12.0298,11.4106,14.7566,17.878,11.8897,11.0624,11.5493,12.1515,12.7449,7.7032,5.0109,10.7702,10.8324,12.8885
196805,12.6785,6.824,9.2728,12.0362,11.1526,10.5824,7.1228,8.0936,7.7981,5.5214,7.0836,4.7801,6.9399,6.2564,6.7654,3.6949,3.0525,4.8965,6.3615,3.4982,2.9005,0.3569,3.271,0.4955,0.153
196806,-1.2787,4.1201,1.5826,4.8408,-1.3289,0.9968,1.4589,1.5363,-2.5618,-1.9903,1.2,0.5794,1.6784,-0.6266,0.4312,1.2819,1.8858,1.3819,-0.0015,-0.4263,1.2594,1.5357,-0.6948,0.5195,-1.2543
196807,-2.5224,-2.5368,-3.2247,-4.0827,-5.4082,-2.9278,-0.9979,-3.5235,-2.6095,-7.649,-0.5536,-3.0921,-4.3417,-4.0331,-6.9356,-6.4394,-2.6935,-3.4847,-5.5859,-5.9613,-1.146,-0.8202,-0.7608,-4.519,-6.0146
196808,4.9899,4.0053,4.2517,4.4158,3.6412,3.4048,4.1846,2.3109,6.6012,2.5553,5.5701,2.5465,5.1399,4.0035,2.407,2.7987,4.5688,2.0478,2.857,1.0704,1.4998,1.2182,1.5012,2.0522,0.7829
196809,8.5947,8.9142,6.0933,7.5774,6.0746,8.2003,4.8819,6.9167,9.4957,7.4288,9.0228,6.1717,5.6325,8.3916,4.2811,8.5882,8.3085,6.9406,8.3108,7.8568,6.2568,1.8284,6.217,3.9996,2.9389
196810,0.0427,-1.7738,1.0721,-0.6469,-0.5642,0.708,-1.3589,1.171,-0.0242,1.4292,2.1054,2.73,3.735,1.3966,-1.218,1.4031,1.1067,0.5599,-0.339,1.3606,1.4815,0.4151,2.9207,-0.1819,-1.7847
196811,7.9307,7,7.5317,7.659,6.1571,6.4842,9.2759,7.712,10.2037,9.2879,11.7897,7.9927,5.2308,9.2622,8.8484,6.7931,6.0386,6.2349,8.2684,7.8946,3.1048,6.3655,2.9383,4.6506,7.6631
196812,3.7645,3.9481,0.7891,0.7025,0.5196,0.4531,0.1322,0.4326,-1.2639,-0.8964,-1.7906,-1.8166,-1.2372,-0.8357,-2.4298,-3.3268,-2.5522,-2.45,-4.4216,-2.4754,-3.3479,-5.2948,-3.3618,-4.5718,-4.2583
196901,-1.8925,-0.8369,-1.985,-1.7167,-0.7463,0.2693,2.242,-0.4601,-3.1216,-2.8681,-3.8097,-0.0063,-1.7795,-3.091,-2.9982,0.1748,-0.6446,-0.3095,-1.7322,-3.5036,-0.7413,-0.9949,-1.453,0.5775,-3.9565
196902,-10.7379,-9.5244,-9.6479,-9.8808,-11.5159,-9.3602,-7.9374,-6.3308,-8.482,-10.2216,-7.8251,-7.5557,-7.7403,-8.5556,-7.0983,-8.0314,-7.1927,-5.0092,-7.2931,-8.7699,-5.5062,-3.1176,-3.8938,-4.7965,-5.103
196903,3.5516,3.1216,2.2761,3.235,2.4206,5.4987,2.2621,4.4039,4.0072,2.21,7.6118,2.2654,1.2891,1.6771,1.8843,0.3926,4.6793,2.4753,1.4397,3.5825,4.5332,4.1821,4.7674,4.0026,0.9994
196904,0.7624,0.8743,1.3565,-0.8784,0.0254,3.7812,2.1871,0.1638,-0.0641,1.1754,2.6532,0.358,1.0013,1.8902,2.0217,0.1172,2.7499,1.55,0.2187,3.7183,0.494,3.704,0.3071,3.641,3.6745
196905,1.8037,4.4706,-1.5852,0.3707,0.3461,-0.716,-1.0046,-0.6048,-1.8046,-1.8316,-0.4425,1.3774,1.7638,-0.9391,-0.6287,-0.0675,1.5775,0.2787,-0.1895,-1.4351,-0.482,0.81,1.6887,0.5937,-2.5106
196906,-13.1319,-13.333,-12.637,-12.2515,-14.9396,-12.2887,-10.37,-9.354,-11.0402,-11.3726,-10.2597,-10.163,-9.8972,-9.0689,-13.4323,-11.5996,-8.9681,-6.7195,-7.4866,-8.2329,-6.9182,-3.1957,-7.6529,-4.4104,-5.1903
196907,-10.1765,-9.2992,-10.3142,-11.4632,-13.6431,-10.1608,-9.8329,-9.6162,-8.5375,-9.7998,-9.8843,-7.3417,-8.3463,-7.2325,-11.9082,-7.4677,-8.151,-9.0236,-7.1229,-8.879,-5.452,-6.2258,-4.9185,-7.325,-7.0597
196908,3.9743,5.4349,2.8867,4.8033,4.4441,7.9144,4.4213,3.8367,4.8584,6.9991,10.004,5.9199,8.9943,5.6855,10.4897,7.9515,6.621,6.7006,4.9368,10.203,6.0882,4.9688,4.205,3.7532,8.8546
196909,-2.7667,-3.7369,-4.8396,-2.3449,-4.6265,-0.2104,2.5588,1.9944,-0.9878,-0.5007,-0.0317,-1.3996,-0.0404,-0.845,-0.4614,0.0585,-2.4448,-0.858,-0.1349,-2.5093,-1.7602,-4.6512,-1.9736,0.4108,-2.0071
196910,13.0048,9.1277,9.2418,9.346,12.8423,7.9426,8.9794,8.0997,8.7761,10.2733,7.5789,6.0685,9.228,6.6375,8.3257,9.3919,6.0102,7.7144,5.5371,8.3433,4.6595,3.4259,3.885,5.8893,7.2768
196911,-8.0042,-6.2518,-7.2936,-4.4371,-8.1688,-5.1201,-3.7967,-4.3296,-3.5567,-4.0413,-7.4232,-3.6755,-3.5555,-4.2932,-5.2389,-3.4715,-1.8518,-2.9397,-3.2157,-4.2936,-2.2042,-2.0293,-3.4516,-2.0213,-2.5736
196912,-8.2783,-8.0871,-7.5573,-4.8723,-8.1156,-6.2261,-6.5029,-7.3845,-4.813,-3.7598,-3.2301,-2.9654,-3.9248,-2.5463,-2.7838,-2.1824,-2.3374,-1.7147,-2.8473,-1.5258,-0.6596,-1.4744,-0.9938,-0.8341,-4.2277
197001,-2.881,-3.4302,-3.8829,-3.405,-5.2253,-7.0054,-6.9269,-2.4766,-3.5147,-6.3113,-8.2333,-5.9846,-3.1362,-8.9922,-7.0687,-9.0316,-8.9499,-6.6062,-7.8198,-9.0252,-8.3661,-7.8271,-8.0281,-8.3341,-7.5258
197002,1.5951,2.9249,5.4542,3.4537,3.1092,4.3297,3.193,5.6324,2.2683,2.842,7.3711,3.9411,3.2563,2.6486,5.0531,5.8246,7.0295,6.9139,5.1829,2.8195,4.6233,6.5346,5.8651,4.1526,4.3261
197003,-3.2514,-3.8454,-2.4156,-5.475,-5.1993,-4.5637,-2.2883,-1.7121,-2.208,-3.5478,-1.0203,0.1425,-2.3456,-0.4895,-4.7953,-2.0051,0.7065,-2.6941,1.3638,-1.4646,-1.2133,-0.5686,1.4128,-0.6411,-0.3846
197004,-19.3473,-16.5262,-14.9628,-15.3783,-20.4152,-20.2805,-14.3183,-14.0078,-16.1904,-20.491,-18.0019,-9.0897,-14.1877,-14.4715,-20.9344,-13.6642,-10.8171,-11.9109,-14.9248,-16.6244,-11.857,-7.2373,-7.0609,-10.0171,-12.2481
197005,-11.7161,-8.9544,-8.721,-9.8646,-9.9472,-10.4882,-10.3313,-10.8651,-12.2662,-11.2046,-9.799,-10.7369,-9.6628,-10.7354,-13.6368,-10.6135,-7.7927,-8.9951,-7.1025,-11.2375,-6.7186,-4.3165,-3.9707,-7.2107,-7.164
197006,-8.6868,-8.1133,-6.3183,-8.0238,-10.9091,-8.871,-9.829,-8.4918,-7.9047,-8.6921,-7.8747,-6.4808,-6.2766,-5.6718,-6.3842,-4.631,-2.982,-4.0058,-4.5045,-6.7883,-7.4214,-4.5862,-2.7521,-5.6408,-6.9405
197007,3.8271,6.6881,5.3656,5.6799,4.1516,8.0178,11.3736,8.1775,6.3716,6.7728,9.3477,8.4403,6.8259,7.4384,6.8472,9.5069,10.5727,10.0605,8.1299,4.0108,7.3569,8.9802,7.6947,3.9483,2.4926
197008,8.2047,6.348,4.6887,5.8902,6.3313,8.7834,6.9987,7.7115,7.3606,9.2463,6.5216,7.1891,6.5948,4.1459,9.6049,7.2426,3.2995,6.5941,5.7988,9.8218,3.0331,4.6185,4.1467,4.5034,7.7944
197009,16.5178,12.0783,12.8005,12.9975,18.6948,14.6802,10.5899,13.796,13.038,15.7814,9.3868,7.466,7.1961,11.3336,18.4748,5.5273,9.3493,7.4689,7.3547,8.5301,4.7241,0.8026,2.2537,7.7371,8.5832
197010,-6.5424,-6.0208,-7.9545,-7.0902,-10.9251,-5.1413,-4.2829,-4.8045,-6.0014,-5.7295,-3.5743,-1.9915,-5.0785,-6.9696,-8.1308,-5.5719,-4.0648,-1.8939,-3.8184,-5.7588,1.2973,-0.3922,-0.5739,-0.6097,-2.0926
197011,-0.7952,-0.9661,-0.763,-1.543,-3.7378,1.4718,2.5283,3.5742,0.908,0.5532,4.3387,3.9896,3.3825,2.1163,2.3428,3.0208,6.4643,6.9244,2.9739,3.4299,4.4457,6.0572,3.6791,5.8729,4.2416
197012,8.8136,9.6541,9.1767,10.9778,9.9897,6.4225,9.083,8.9691,9.7162,10.5338,9.6131,8.5261,8.7063,12.0772,4.3987,9.4284,8.6195,8.0847,10.2082,7.7236,5.4407,5.3067,7.5995,3.5961,5.351
197101,15.5688,14.9718,14.1154,13.1141,16.6515,14.6428,8.3371,8.967,12.2406,9.8877,11.2386,7.3728,11.7844,6.3959,10.2558,10.3198,7.8196,7.3583,7.2271,9.7606,6.4198,2.096,4.5819,4.576,6.7582
197102,5.7756,4.9279,5.1143,6.7905,6.2231,2.7557,1.5147,3.2768,3.1981,5.1065,3.6078,4.7966,1.8072,3.4187,1.4035,2.7114,4.2023,4.6998,2.3595,2.4011,4.2232,0.4776,2.3425,1.6206,2.0659
197103,8.2777,5.1637,4.9001,6.4525,5.7417,6.3758,5.4905,6.6384,2.9365,6.4794,6.8426,7.963,8.9011,8.3206,7.8905,5.9882,3.515,6.5964,4.8005,7.4411,3.9836,3.0401,3.5612,5.5029,5.6826
197104,1.601,1.8675,0.7518,3.9704,2.2186,3.7165,1.573,4.0686,4.2694,2.2004,5.3107,4.8052,6.5289,5.7266,6.3114,5.8098,5.9539,4.195,5.95,3.8956,5.402,3.5972,5.0862,3.0723,6.9398
197105,-5.5618,-4.9857,-5.6793,-5.2314,-6.935,-6.377,-3.9234,-1.5248,-4.8675,-3.9611,-4.9303,-1.934,-3.777,-3.7077,-6.4074,-2.8961,-3.5063,-3.6261,-2.5789,-3.444,-3.6139,-3.9001,-1.8003,-4.8564,-2.0287
197106,-2.1893,-0.9805,-2.8698,-1.8636,-2.7571,1.6123,0.0311,-0.1944,-1.3671,0.5701,-1.9655,0.0251,-2.2437,-1.3873,-1.1201,0.5392,0.5056,0.4873,-1.3329,0.4504,-0.3383,-0.0884,2.3132,-0.4911,1.2806
197107,-7.376,-5.2259,-6.2338,-7.704,-7.8584,-4.7674,-4.0523,-4.6112,-6.3179,-7.1711,-6.2726,-3.0449,-5.5857,-6.0532,-8.954,-7.7218,-4.822,-4.5321,-3.2925,-6.8738,-4.7204,-4.6588,-2.3412,-6.2367,-3.3529
197108,3.9157,3.8609,5.7376,5.0565,4.1231,6.6218,5.0911,4.3288,6.4858,6.3,4.3245,4.2686,6.8085,8.4079,6.9979,7.8249,6.1999,5.539,5.6909,8.8973,5.1517,3.003,4.3208,7.5351,3.8047
197109,-0.9807,-0.1682,0.3577,0.5142,1.2621,-1.6671,2.3076,-1.7204,0.1693,-1.0939,-0.9389,0.3479,-0.7338,-1.2184,1.9099,1.436,-1.3729,-0.359,-0.9959,0.7021,-0.9623,-0.4722,0.0769,-1.4843,0.0304
197110,-6.0438,-6.2804,-7.7038,-6.5883,-7.4941,-6.1586,-6.2083,-7.7375,-5.7926,-4.8963,-10.0113,-5.5612,-3.6476,-5.0626,-8.4738,-4.9593,-4.5225,-5.8212,-4.4771,-4.5614,-6.0355,-3.0404,-4.0981,-5.0773,-5.2151
